"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US510030102011","Block Group 1, Census Tract 102.01, Albemarle County, Virginia","2218","null","480","null","2109","null","487","null","1","2","null","null","0","13","null","null","10","null","22","null","0","null","13","null","21","null","39","null","77","90","null","null","0","null","13","null","77","null","90","null",
"1500000US510030102012","Block Group 2, Census Tract 102.01, Albemarle County, Virginia","1916","null","463","null","1304","null","402","null","352","157","null","null","0","13","null","null","65","null","83","null","0","null","13","null","32","null","50","null","163","164","null","null","0","null","13","null","163","null","164","null",
"1500000US510030102013","Block Group 3, Census Tract 102.01, Albemarle County, Virginia","1577","null","381","null","1463","null","396","null","46","68","null","null","1","3","null","null","55","null","56","null","0","null","13","null","0","null","13","null","12","15","null","null","0","null","13","null","12","null","15","null",
"1500000US510030102021","Block Group 1, Census Tract 102.02, Albemarle County, Virginia","1185","null","209","null","946","null","166","null","51","62","null","null","0","13","null","null","38","null","44","null","0","null","13","null","37","null","43","null","113","136","null","null","96","null","135","null","17","null","23","null",
"1500000US510030102022","Block Group 2, Census Tract 102.02, Albemarle County, Virginia","1882","null","364","null","1803","null","369","null","11","18","null","null","0","13","null","null","37","null","42","null","0","null","13","null","0","null","13","null","31","36","null","null","11","null","17","null","20","null","29","null",
"1500000US510030103011","Block Group 1, Census Tract 103.01, Albemarle County, Virginia","2217","null","453","null","1719","null","505","null","196","199","null","null","0","13","null","null","139","null","121","null","0","null","13","null","0","null","13","null","163","173","null","null","117","null","169","null","46","null","46","null",
"1500000US510030103021","Block Group 1, Census Tract 103.02, Albemarle County, Virginia","1329","null","156","null","984","null","211","null","71","66","null","null","0","13","null","null","0","null","13","null","0","null","13","null","107","null","113","null","167","159","null","null","18","null","30","null","149","null","162","null",
"1500000US510030103031","Block Group 1, Census Tract 103.03, Albemarle County, Virginia","2463","null","617","null","2183","null","589","null","25","38","null","null","0","13","null","null","96","null","83","null","0","null","13","null","8","null","14","null","151","149","null","null","86","null","136","null","65","null","61","null",
"1500000US510030103032","Block Group 2, Census Tract 103.03, Albemarle County, Virginia","942","null","249","null","804","null","211","null","41","51","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","97","121","null","null","0","null","13","null","97","null","121","null",
"1500000US510030103033","Block Group 3, Census Tract 103.03, Albemarle County, Virginia","2073","null","310","null","1510","null","351","null","130","157","null","null","32","52","null","null","278","null","206","null","0","null","13","null","0","null","13","null","123","85","null","null","26","null","43","null","97","null","70","null",
"1500000US510030104011","Block Group 1, Census Tract 104.01, Albemarle County, Virginia","1820","null","291","null","1660","null","303","null","67","58","null","null","0","13","null","null","0","null","13","null","0","null","13","null","66","null","83","null","27","31","null","null","19","null","28","null","8","null","14","null",
