"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_001MA","B01002_001EA","B01002_002E","B01002_002EA","B01002_002M","B01002_002MA","B01002_003E","B01002_003M","B01002_003MA","B01002_003EA",
"Geography","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Annotation of Margin of Error!!Median age --!!Total:","Annotation of Estimate!!Median age --!!Total:","Estimate!!Median age --!!Male","Annotation of Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Annotation of Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female","Annotation of Margin of Error!!Median age --!!Female","Annotation of Estimate!!Median age --!!Female",
"1500000US510411010093","Block Group 3, Census Tract 1010.09, Chesterfield County, Virginia","31.0","7.4","null","null","18.9","null","20.1","null","36.0","4.9","null","null",
"1500000US510411010111","Block Group 1, Census Tract 1010.11, Chesterfield County, Virginia","34.9","6.9","null","null","31.8","null","6.7","null","36.1","6.1","null","null",
"1500000US510411010112","Block Group 2, Census Tract 1010.11, Chesterfield County, Virginia","38.7","8.1","null","null","32.5","null","10.4","null","41.5","9.5","null","null",
"1500000US510411010121","Block Group 1, Census Tract 1010.12, Chesterfield County, Virginia","31.6","4.0","null","null","32.4","null","1.2","null","29.0","3.0","null","null",
"1500000US510411010122","Block Group 2, Census Tract 1010.12, Chesterfield County, Virginia","32.6","3.2","null","null","32.8","null","3.0","null","32.3","5.4","null","null",
"1500000US510411010123","Block Group 3, Census Tract 1010.12, Chesterfield County, Virginia","43.4","9.2","null","null","40.2","null","13.9","null","47.1","12.1","null","null",
"1500000US510411010131","Block Group 1, Census Tract 1010.13, Chesterfield County, Virginia","47.3","5.5","null","null","47.0","null","12.0","null","47.3","3.0","null","null",
"1500000US510411010132","Block Group 2, Census Tract 1010.13, Chesterfield County, Virginia","41.0","2.0","null","null","31.9","null","24.6","null","42.8","4.7","null","null",
"1500000US510411010141","Block Group 1, Census Tract 1010.14, Chesterfield County, Virginia","45.2","5.3","null","null","44.4","null","7.3","null","48.1","9.7","null","null",
"1500000US510411010151","Block Group 1, Census Tract 1010.15, Chesterfield County, Virginia","41.3","6.1","null","null","43.8","null","11.8","null","37.8","8.0","null","null",
"1500000US510411010152","Block Group 2, Census Tract 1010.15, Chesterfield County, Virginia","40.8","12.4","null","null","42.2","null","14.8","null","40.5","15.5","null","null",
"1500000US510411010153","Block Group 3, Census Tract 1010.15, Chesterfield County, Virginia","49.3","8.9","null","null","45.3","null","12.5","null","53.3","6.3","null","null",
"1500000US510430101011","Block Group 1, Census Tract 101.01, Clarke County, Virginia","57.6","5.2","null","null","56.8","null","10.8","null","58.0","3.8","null","null",
"1500000US510430101012","Block Group 2, Census Tract 101.01, Clarke County, Virginia","44.0","11.1","null","null","52.3","null","7.0","null","40.3","17.0","null","null",
"1500000US510430101013","Block Group 3, Census Tract 101.01, Clarke County, Virginia","37.6","8.6","null","null","35.5","null","8.4","null","39.9","14.0","null","null",
"1500000US510430101021","Block Group 1, Census Tract 101.02, Clarke County, Virginia","44.8","6.3","null","null","46.3","null","14.1","null","44.5","2.6","null","null",
"1500000US510430101022","Block Group 2, Census Tract 101.02, Clarke County, Virginia","47.3","5.2","null","null","48.9","null","9.1","null","47.1","6.1","null","null",
"1500000US510430101023","Block Group 3, Census Tract 101.02, Clarke County, Virginia","46.4","10.4","null","null","42.4","null","5.6","null","49.6","11.3","null","null",
"1500000US510430102001","Block Group 1, Census Tract 102, Clarke County, Virginia","48.2","7.5","null","null","44.7","null","3.7","null","51.2","4.9","null","null",
"1500000US510430102002","Block Group 2, Census Tract 102, Clarke County, Virginia","48.1","16.3","null","null","41.7","null","15.9","null","49.6","14.6","null","null",
"1500000US510430102003","Block Group 3, Census Tract 102, Clarke County, Virginia","51.4","10.4","null","null","49.5","null","14.7","null","54.0","14.0","null","null",
